UniqueID,Phylum,Class,Order,Family,Genus,Species
Alc_Zoo_74,Arthropoda,Copepoda,Harpacticoida,Miraciidae,Macrosetella,
Alc_Zoo_75,Arthropoda,Copepoda,Harpacticoida,Miraciidae,Miracia ,
Alc_Zoo_76,Arthropoda,Copepoda,Harpacticoida,Canuellidae,Canuella,
Alc_Zoo_77,Arthropoda,Copepoda,Harpacticoida,Harpacticidae,Harpacticus,
Alc_Zoo_78,Arthropoda,Copepoda,Harpacticoida,Harpacticidae,Zaus,
Alc_Zoo_79,Arthropoda,Copepoda,Harpacticoida,Harpacticidae,Tigriopus,
Alc_Zoo_80,Arthropoda,Copepoda,Monstrilloida,Monstrilloidae,Monstrilla,
Alc_Zoo_81,Arthropoda,Copepoda,Monstrilloida,Monstrilloidae,Cymbasoma,
Alc_Zoo_82,Arthropoda,Copepoda,Cirripedia,,,Cirripede nauplii
Alc_Zoo_83,Arthropoda,Copepoda,Malacostraca,,,Malacostracan larvae
Alc_Zoo_84,Arthropoda,Copepoda,Mysidacea,,,Mysids
Alc_Zoo_85,Arthropoda,Copepoda,Amphipoda,Hyperiidae,,
Alc_Zoo_86,Arthropoda,Copepoda,Amphipoda,Gammariidae,,
Alc_Zoo_87,Arthropoda,Copepoda,Isopoda,,,Isopod
Alc_Zoo_88,Arthropoda,Copepoda,Decapoda,,,Zoea larvae
Alc_Zoo_89,Arthropoda,Copepoda,Decapoda,,,Megalopa larvae
Alc_Zoo_90,Arthropoda,Copepoda,Decapoda,,,Anomuran larvae
Alc_Zoo_91,Arthropoda,Copepoda,Decapoda,,,Phyllosoma larvae
Alc_Zoo_92,Arthropoda,Copepoda,Decapoda,,,Penaeid larvae
Alc_Zoo_93,Arthropoda,Copepoda,Decapoda,,,Stomatopod larvae
Alc_Zoo_94,Arthropoda,Copepoda,Decapoda,,,Caridean larvae
Alc_Zoo_95,Arthropoda,Copepoda,Decapoda,,,Decapod protozoaea
Alc_Zoo_96,Arthropoda,Copepoda,Decapoda,,,Carcinus larvae
Alc_Zoo_97,Arthropoda,Copepoda,Decapoda,,,Macruran larvae
Alc_Zoo_98,Arthropoda,Copepoda,Decapoda,Luciferidae,Lucifer,
Alc_Zoo_99,Arthropoda,Copepoda,Leptostraca,Nebaliidae,Nebalia,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Mollusca,Gastropoda,,,,Gastropod larvae
,Mollusca,Gastropoda,Pteropoda,Creseidae,Creseis,
,Mollusca,Gastropoda,Pteropoda,Cavoliniinae,Cavolinia,
,Mollusca,Bivalvia,,,,Bivalve  larvae
,Mollusca,Cephalopoda,,,,Cephalopod larvae
,Bryozoa,,,,,Cyphonautes larvae
,Nemertea,Nemertea incertea sedis,,,Planaria,
,Phoronida,,,,,Actinotrocha larvae
,Rotifera,,,,,Rotifers
,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Aidanosagitta,
,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Flaccisagitta,
,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Serratosagitta,
,Echinodermata,,,,,Bipinnaria larvae
,Echinodermata,,,,,Doliolaria larvae
,Echinodermata,,,,,Echinopluteus larvae
,Echinodermata,,,,,Ophiuroid larvae
,Chordata,Appendicularia,Copelata,Fritillaridae,Fritillaria,
,Chordata,Appendicularia,,Oikopleuridae,Oikopleura,
,Chordata,Thaliacea,Doliolida,Doliolidae,Doliolum,
,Chordata,Thaliacea,Salpida,Salpidae,Salpa,
,Chordata,Pisces,,,,Fish larvae
,Chordata,Pisces,,,,Fish eggs
